AveWait(s),AveSize,SampleNum,ClientNum,ArrivalRate,ServerRate,ave(ms),p50(ms),p90(ms),p99(ms),p999(ms),p9999(ms),file
 0.0200,8,20000,64,50.0948,46.5291,21.4919,14.5888,54.3921,70.4608,117.7380,172.0023,readTest1013/000readlatency.csv
 0.0200,8,20000,64,50.0407,46.6055,21.4567,14.7026,54.4171,70.4582,118.3491,170.0547,readTest1013/001readlatency.csv
 0.0200,8,20000,64,50.0700,46.2513,21.6210,14.6255,54.4801,70.4772,117.4128,196.8937,readTest1013/002readlatency.csv
 0.0200,8,20000,64,50.1114,46.7144,21.4067,14.5760,54.3864,70.2074,114.6541,184.2093,readTest1013/003readlatency.csv
 0.0200,8,20000,64,50.0954,46.6023,21.4582,14.5683,54.3425,70.5957,121.7773,181.1655,readTest1013/004readlatency.csv
 0.0200,8,20000,64,50.0959,45.9737,21.7516,14.6263,54.5409,73.2923,140.2121,225.1017,readTest1013/005readlatency.csv
 0.0100,8,20000,64,86.0177,21.1152,47.3591,40.3082,76.8707,146.6365,256.7132,1190.1078,readTest1013/006readlatency.csv
 0.0050,8,20000,64,80.8867, 1.6106,620.8931,724.4620,927.1536,984.1044,1106.9067,1189.8119,readTest1013/007readlatency.csv
 0.0400,8,20000,64,24.9957,46.4423,21.5321,14.6544,54.7414,68.9917,111.2101,161.6595,readTest1013/008readlatency.csv
 0.0200,8,20000,64,50.0971,46.5370,21.4883,14.6072,54.3504,71.0709,117.2657,185.3557,readTest1013/009readlatency.csv
 0.0100,8,20000,64,86.2750,21.7023,46.0780,39.9840,75.2835,141.6943,208.3778,238.2030,readTest1013/010readlatency.csv
 0.0050,8,20000,64,80.3601, 1.4521,688.6380,731.2365,932.5838,989.2473,1103.8225,1186.2543,readTest1013/011readlatency.csv
